DOI,BC,NO2,PM10,PM2.5,O3,NOx,VOC,CO,SO2,AQI,ozone,NOX,NH3,AOD,VOCs,AQIPM2.5,AQINO2,BLSO2,PM,NO₂,PM2:5,NO,benzene,BBOA,HOA,OOA,O
https://doi.org/10.1029/2020GL089252,,,,,,['-36.0'],,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1029/2020GL089035,,,,['-46.9'],,,,['-44.1'],,,,,,,,,,,,,,,,,,,
https://doi.org/10.1175/BAMS-D-20-0102.1,,"['-40.0', '-29.0', '-54.0']","['-36.0', '-30.0', '-51.0', '-49.0']","['-27.0', '-32.0', '-52.0']","['15.0', '2.0', '30.0']",,,"['-27.0', '-38.0']","['-52.0', '-48.0']",,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.140214,['-27.0'],"['-24.0', '-61.4']",['-38.0'],"['-50.0', '-35.0']",,['-17.0'],,['-27.0'],['-62.0'],,,,['1.0'],,,,,,,,,,,,,,
https://doi.org/10.1038/s41893-020-0581-y,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1093/nsr/nwaa137,,['-65.0'],,,,,,,,,,,,,,,,,,,,,,,,,
10.1126/science.abb7431,,"['-71.9', '-93.0', '-40.0']",,"['31.3', '12.0', '-5.0']",,,,,['-60.0'],,['-20.0'],,,['100.0'],['-30.0'],,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.139282,,"['-45.1', '-19.6', '-18.5', '-32.5']",['-19.6'],"['-31.8', '-12.3', '-25.4', '-48.1']",,['-29.5'],,"['-12.3', '-7.8']","['-31.8', '-45.1', '-20.4', '-12.3', '-19.6', '-7.8', '-29.3', '-17.9']",,"['8.3', '2.3']",,,,,,,,,,,,,,,,
https://doi.org/10.4209/aaqr.2020.06.0321,,,,,['40.9'],,,,,,,,,,,,,,,,,,,,,,
http://dx.doi.org/10.5067/Aura/OMI/DATA2017,,"['-48.0', '-26.0', '-24.0']",,,,,,,,,,,,,,,,,,,,,,,,,
10.22034/GJESM.2019.06.SI.08,,"['-35.0', '-41.0', '-52.0', '-28.0', '-13.0']","['-41.0', '-32.0']","['-21.0', '-40.0']",,,,"['-49.0', '-52.0']",,['-32.2'],,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.141621,,"['-60.0', '-62.0', '-63.0', '-65.0']","['-44.0', '-58.0', '-59.0', '-60.0', '-36.0', '10.0']","['-60.0', '-44.0', '-40.0', '-62.0', '-58.0', '-69.0', '-33.0']",,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/s11869-020-00950-3,,['-35.0'],"['-51.0', '-22.5']","['-17.0', '-21.0']",,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1038/s41598-020-70179-8,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.139086,,['-52.68'],"['-51.84', '-57.0']","['-53.11', '-33.0']",,,,['-30.35'],['-17.97'],,,,['-12.33'],,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.142226,,"['-96.0', '-83.0']",,,,,['-47.0'],['-28.0'],"['-49.0', '-14.5', '30.0']",,['19.6'],,,"['-62.0', '20.0']",,,,,,,,,,,,,
https://doi.org/10.4209/aaqr.2020.07.0388,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dx.doi.org/10.3390/atmos11040433,,,,,,"['-50.0', '32.0', '85.0', '-62.0', '-43.0']",,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4209/aaqr.2020.05.0254,,['-68.0'],,['-29.0'],,,,"['-38.0', '-28.0', '-41.4']",['-48.0'],,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/s11869-020-00866-y,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://dx.doi.org/10.3390/atmos11090998,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.uclim.2020.100674,,"['-13.0', '-25.0', '-35.0', '-23.4']",,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.140426,,"['-13.0', '-9.7', '-57.8', '-53.6', '-30.0', '-50.0']",,"['-23.5', '-13.0', '4.0', '-4.6']",,,,,,,"['-2.7', '-2.34', '17.6', '6.6']",,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.141322,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.141286,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.140391,,"['-57.0', '-30.0', '-60.0', '-82.0', '-50.0', '-43.5', '-84.0', '-59.0']","['-56.0', '-51.0', '-48.0', '-34.0', '-47.0', '-32.0', '-44.0']","['-58.0', '-46.0', '-51.0', '-34.0', '-38.0', '-39.0']","['38.0', '58.0']",,,"['-29.0', '-55.0', '-38.0', '-49.0', '-25.0']","['-54.0', '-58.0', '-22.0', '-40.0']","['-58.0', '-36.5']",,,,,,,,,,,,,,,,,
https://doi.org/10.1007/s10311-020-01028-3,,['-58.4'],['-47.9'],"['-42.7', '-96.0']",['145.0'],,,"['-22.3', '-10.0']",['-28.6'],,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.atmosenv.2020.117947,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.142227,,,,"['87.95', '79.05']",,,,,,,,,,"['-39.2', '-31.0']",,,,,,,,,,,,,
https://doi.org/10.1007/s11869-020-00881-z,,,,,,,,,,,,,,,,"['-11.32', '-48.61', '-45.25', '-64.65', '-15.95', '-11.28', '-26.37', '-76.67', '-6.47', '-20.21', '-37.42', '-13.4', '-58.54', '-27.5', '-60.37', '-65.8', '-24.96', '-12.7', '-24.23', '-15.76', '-31.89']","['-48.61', '-37.42', '-65.8', '-3.22', '-59.26', '-20.21', '-76.28', '-55.7', '-92.58', '-76.67', '-53.93', '-46.22']",,,,,,,,,,
https://doi.org/10.4209/aaqr.2020.05.0240,,"['-17.0', '-25.0']",,,,,,['-6.5'],,,,,,,,,,['-17.0'],,,,,,,,,
https://doi.org/10.1007/s00128-020-02877-y,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.heliyon.2020.e04764,,"['-25.5', '-51.0', '-30.0', '0.8', '14.0', '4.4', '-12.1']",,['-18.0'],,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.envres.2020.109835,,['-57.0'],,['-46.9'],,,,['-30.0'],,,,,,,,,,,,,,,,,,,
10.18520/cs/v119/i3/535-539,,,,,,,,,,,,,,['-52.0'],,,,,,,,,,,,,
https://doi.org/10.1007/s11869-020-00879-7,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.envpol.2020.115368,,"['-18.0', '-52.0', '-40.0']","['-31.0', '-41.0', '-59.0']","['-18.0', '-43.0', '-40.0', '-31.0', '-34.0', '-47.0', '-25.0']","['-20.0', '23.0']",,,"['-10.0', '-51.0', '-33.0']",['-23.0'],,,,,,,,,,"['-20.0', '-40.0', '-50.0']",,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.141024,,['-25.0'],,,,,,,,,,,,['-43.0'],,,,,,,,,,,,,
https://doi.org/10.4209/aaqr.2020.05.0262,,['-3.0'],"['-8.0', '-56.0']",['-25.0'],,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4209/aaqr.2020.05.0209,,"['-63.9', '-74.4', '-29.3']","['-56.7', '-34.2', '-20.1']","['-63.9', '-34.5', '-53.6', '8.8', '-74.4']","['50.9', '18.8', '6.3', '-44.8']",,,"['-32.7', '-40.1', '-28.5']","['-22.8', '-5.0', '-8.9']",,,,['-31.5'],,,,,,,,,,,,,,
https://doi.org/10.1016/j.envpol.2020.115691,,,,,,,,,,"['-17.75', '-20.7']",,,,,,,,,,,,,,,,,
https://doi.org/10.1038/s41598-020-72271-5,,"['-12.0', '-19.0', '-61.6', '-60.2', '-48.2', '-46.7', '-46.2', '-45.5', '-43.1', '36.0', '-30.0']",,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4209/aaqr.2020.04.0171,,"['-30.0', '-50.0']",['-52.0'],"['-41.0', '-14.0']","['7.0', '9.0', '27.0', '3.0']",,,"['-41.0', '-29.0', '-25.0']",,,,,,,,,,,,['-50.0'],,,,,,,
https://doi.org/10.1080/09603123.2020.1778646,,"['-49.0', '-60.0', '-78.0', '-60.11', '-12.5', '-45.0']","['-55.0', '-44.0']",,['37.35'],,,,"['-55.0', '-49.0', '-60.0', '-19.0', '-39.0', '-19.51', '-39.01']",,,,,,,,,,,,"['-55.0', '-49.0', '-37.0', '-55.01']",,,,,,
https://doi.org/10.4209/aaqr.2020.05.0256,,"['-30.0', '-48.0', '-49.0', '-10.7', '-18.0']",['-31.0'],"['-28.0', '-12.0', '-20.0', '-30.0', '-11.0', '-10.0', '-43.0']",,,,"['-20.0', '-40.0', '-49.0', '-10.0']",['7.0'],,,,,,,,,,['-50.0'],,,,,,,,
http://dx.doi.org/10.7717/peerj.9642,,['-71.0'],['-61.0'],['-53.0'],['22.0'],,['-61.0'],['-67.0'],['-62.0'],,,,['-16.0'],,,,,,,,,['-61.0'],,,,,
https://doi.org/10.1016/j.scitotenv.2020.138878,,['-18.0'],['-31.0'],"['-18.0', '-43.0', '-34.0']",['17.0'],,,['-10.0'],,"['-30.0', '-32.0', '-49.0']",,,,,,,,,['-52.0'],,,,,,,,
https://doi.org/10.1007/s12524-020-01130-7,,,,,,,,,,,,,,,,,,,,,,,,,,,
