StudyStartDate;StudyEndDate;FirstAuthor;DOI;AdditionalDetails;City;Country;GeographicalRegion;methods;platform;StringencyIndex;NO2_prcnt_change;NO2_prcnt_change_er;NO2_ugm3_Reference_avg;NO2_ugm3_Reference_sd;NO2_ugm3_Lockdown_avg;NO2_ugm3_Lockdown_sd;NOX_prcnt_change;NOX_prcnt_change_er;NOX_ugm3_Reference_avg;NOX_ugm3_Reference_sd;NOX_ugm3_Lockdown_avg;NOX_ugm3_Lockdown_sd;CO_prcnt_change;CO_prcnt_change_er;CO_mgm3_Reference_avg;CO_mgm3_Reference_sd;CO_mgm3_Lockdown_avg;CO_mgm3_Lockdown_sd;PM25_prcnt_change;PM25_prcnt_change_er;PM25_ugm3_Reference_avg;PM25_ugm3_Reference_sd;PM25_ugm3_Lockdown_avg;PM25_ugm3_Lockdown_sd;PM10_prcnt_change;PM10_prcnt_change_er;PM10_ugm3_Reference_avg;PM10_ugm3_Reference_sd;PM10_ugm3_Lockdown_avg;PM10_ugm3_Lockdown_sd;O3_prcnt_change;O3_prcnt_change_er;O3_ugm3_Reference_avg;O3_ugm3_Reference_sd;O3_ugm3_Lockdown_avg;O3_ugm3_Lockdown_sd;SO2_prcnt_change;SO2_prcnt_change_er;SO2_ugm3_Reference_avg;SO2_ugm3_Reference_sd;SO2_ugm3_Lockdown_avg;SO2_ugm3_Lockdown_sd;NH3_prcnt_change;NH3_prcnt_change_er;NH3_ugm3_Reference_avg;NH3_ugm3_Reference_sd;NH3_ugm3_Lockdown_avg;NH3_ugm3_Lockdown_sd;NMVOCS_prcnt_change;NMVOCS_prcnt_change_er;NMVOCS_ugm3_Reference_avg;NMVOCS_ugm3_Reference_sd;NMVOCS_ugm3_Lockdown_avg;NMVOCS_ugm3_Lockdown_sd;AOD_prcnt_change;AOD_prcnt_change_er;AOD_Reference_avg;AOD_Reference_sd;AOD_Lockdown_avg;AOD_Lockdown_sd;BC_prcnt_change;BC_prcnt_change_er;BC_ugm3_Reference_avg;BC_ugm3_Reference_sd;BC_ugm3_Lockdown_avg;BC_ugm3_Lockdown_sd;AQI_prcnt_change;AQI_prcnt_change_er;AQI_Reference_avg;AQI_Reference_sd;AQI_Lockdown_avg;AQI_Lockdown_sd;BCFF_prcnt_change;BCFF_prcnt_change_er;BCFF_ugm3_Reference_avg;BCFF_ugm3_Reference_sd;BCFF_ugm3_Lockdown_avg;BCFF_ugm3_Lockdown_sd;BCWB_prcnt_change;BCWB_prcnt_change_er;BCWB_ugm3_Reference_avg;BCWB_ugm3_Reference_sd;BCWB_ugm3_Lockdown_avg;BCWB_ugm3_Lockdown_sd;NO3_prcnt_change;NO3_prcnt_change_er;NO3_ugm3_Reference_avg;NO3_ugm3_Reference_sd;NO3_ugm3_Lockdown_avg;NO3_ugm3_Lockdown_sd;SO4_prcnt_change;SO4_prcnt_change_er;SO4_ugm3_Reference_avg;SO4_ugm3_Reference_sd;SO4_ugm3_Lockdown_avg;SO4_ugm3_Lockdown_sd;OM_prcnt_change;OM_prcnt_change_er;OM_ugm3_Reference_avg;OM_ugm3_Reference_sd;OM_ugm3_Lockdown_avg;OM_ugm3_Lockdown_sd;PM1_prcnt_change;PM1_prcnt_change_er;PM1_ugm3_Reference_avg;PM1_ugm3_Reference_sd;PM1_ugm3_Lockdown_avg;PM1_ugm3_Lockdown_sd;BBOA_prcnt_change;BBOA_prcnt_change_er;BBOA_ugm3_Reference_avg;BBOA_ugm3_Reference_sd;BBOA_ugm3_Lockdown_avg;BBOA_ugm3_Lockdown_sd;HOA_prcnt_change;HOA_prcnt_change_er;HOA_ugm3_Reference_avg;HOA_ugm3_Reference_sd;HOA_ugm3_Lockdown_avg;HOA_ugm3_Lockdown_sd;OOA_prcnt_change;OOA_prcnt_change_er;OOA_ugm3_Reference_avg;OOA_ugm3_Reference_sd;OOA_ugm3_Lockdown_avg;OOA_ugm3_Lockdown_sd
2020-02-01;2020-04-30;Chen, Qi-Xiang;10.4209/aaqr.2020.05.0224;;Gansu;China;East Asia;Direct Comparison to a Reference Period;Ground-based;72.27;-10.00;;;;;;;;;;;;-11.00;;;;;;-4.00;;45.00;;40.00;;3.00;;;;;;-3.00;;;;;;-12.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-01;2020-04-30;Chen, Qi-Xiang;10.4209/aaqr.2020.05.0224;;Qinghai;China;East Asia;Direct Comparison to a Reference Period;Ground-based;72.27;-5.00;;;;;;;;;;;;-10.00;;;;;;-22.00;;30.00;;25.00;;-14.00;;;;;;-2.00;;;;;;-14.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-01;2020-04-30;Chen, Qi-Xiang;10.4209/aaqr.2020.05.0224;;Ningxia;China;East Asia;Direct Comparison to a Reference Period;Ground-based;72.27;-12.00;;;;;;;;;;;;-19.00;;;;;;-12.00;;50.00;;50.00;;-12.00;;;;;;1.00;;;;;;-11.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-12.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-02-01;2020-04-30;Chen, Qi-Xiang;10.4209/aaqr.2020.05.0224;;Xinjiang;China;East Asia;Direct Comparison to a Reference Period;Ground-based;72.27;-23.00;;;;;;;;;;;;-9.00;;;;;;3.00;;75.00;;70.00;;8.00;;;;;;11.00;;;;;;-9.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-23;2020-04-05;Collivignarelli, M. C.;10.1016/j.scitotenv.2020.139280;;Milan;Italy;Europe;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Ground-based;91.67;-61.40;;70.00;;27.00;;-74.50;;;;;;-57.60;;1.30;;0.60;;-47.40;;39.00;;20.00;;-48.00;;;;;;252.30;;17.00;;60.00;;-25.40;;;;;;;;;;;;-69.00;;;;;;;;;;;;-66.30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-23;2020-04-05;Collivignarelli, M. C.;10.1016/j.scitotenv.2020.139280;Milan sub-area A;Milan;Italy;Europe;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Ground-based;91.67;-57.90;;60.00;;25.00;;-74.10;;;;;;-49.10;;1.00;;0.50;;-47.10;;41.00;;21.00;;-45.40;;;;;;223.30;;17.00;;55.00;;-4.80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-23;2020-04-05;Collivignarelli, M. C.;10.1016/j.scitotenv.2020.139280;Milan sub-area B;Milan;Italy;Europe;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Ground-based;91.67;-57.10;;36.00;;19.00;;-70.30;;;;;;-32.00;;0.90;;0.65;;;;3.90;;;;-48.30;;;;;;157.40;;23.00;;60.00;;2.80;;;;;;;;;;;;-66.30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-09;2020-03-23;Collivignarelli, M. C.;10.1016/j.scitotenv.2020.139280;;Milan;Italy;Europe;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Ground-based;86.02;-43.10;;70.00;;40.00;;-59.90;;;;;;-45.60;;1.30;;0.70;;-37.10;;39.00;;22.00;;-39.50;;;;;;169.90;;17.00;;47.00;;-19.90;;;;;;;;;;;;-49.60;;;;;;;;;;;;-57.50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-09;2020-03-23;Collivignarelli, M. C.;10.1016/j.scitotenv.2020.139280;Milan sub-area A;Milan;Italy;Europe;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Ground-based;86.02;-37.80;;60.00;;37.00;;-58.10;;;;;;-38.30;;1.00;;0.60;;-44.40;;41.00;;22.00;;-32.70;;;;;;106.70;;17.00;;35.00;;-9.30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-03-09;2020-03-23;Collivignarelli, M. C.;10.1016/j.scitotenv.2020.139280;Milan sub-area B;Milan;Italy;Europe;Direct Comparison to a Reference Period: Meteorology discussed, not quantified;Ground-based;86.02;-40.60;;36.00;;21.00;;-56.00;;;;;;-11.00;;0.90;;0.80;;;;3.90;;;;-40.50;;;;;;99.00;;23.00;;47.00;;3.30;;;;;;;;;;;;-48.80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
